,Product URL,Catalog Image
46,https://www.corporategear.com/vineyard-vines-men-s-tech-fleece-harbor-vest.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/jmvt1410-gry.jpg"",""/resources/parsonskellogg/product/medium/jmvt1410-blk.jpg"",""/resources/parsonskellogg/product/medium/jmvt1410-nvy.jpg""]"
48,https://www.corporategear.com/nike-men-s-therma-fit-vest.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/637635067443997106_1009113_5716029_color_nvy.jfif""]"
50,https://www.corporategear.com/stio-men-s-wilcox-fleece-vest.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/mf22ez300-blk.jpg""]"
52,https://www.corporategear.com/spyder-men-s-pursuit-vest.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/mf22ez51-pur.jpg""]"
54,https://www.corporategear.com/peter-millar-men-s-autumn-crest-quarter-zip-vest.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/mf22ek86-blk.jpg"",""/resources/parsonskellogg/product/medium/mf22ek86-spt.jpg""]"
56,https://www.corporategear.com/eddie-bauer-men-s-stretch-soft-shell-vest.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/mf22ez46-bri.jpg"",""/resources/parsonskellogg/product/medium/mf22ez46-irn.jpg"",""/resources/parsonskellogg/product/medium/mf22ez46-grn.jpg""]"
58,https://www.corporategear.com/ogio-men-s-grit-fleece-vest.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/30270-597.jpg"",""/resources/parsonskellogg/product/medium/30270-990.jpg"",""/resources/parsonskellogg/product/medium/30270-853.jpg"",""/resources/parsonskellogg/product/medium/30270-001.jpg""]"
60,https://www.corporategear.com/peter-millar-men-s-crown-sweater-fleece-vest.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/965776_ctv01_black_flat_front.jpg"",""/resources/parsonskellogg/product/medium/965785_ctv01_carharttbrown_flat_front.jpg""]"
62,https://www.corporategear.com/peter-millar-men-s-solid-micro-shearling-fleece-vest.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/1007969_5710089_color_002.jpg"",""/resources/parsonskellogg/product/medium/1007969_5710096_color_0410.jpg"",""/resources/parsonskellogg/product/medium/637847729776608824_1007969_5744749_swatch_928.jfif""]"
64,https://www.corporategear.com/peter-millar-men-s-stealth-fleece-vest.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/j325-blk.jpg"",""/resources/parsonskellogg/product/medium/j325-nvy.jpg"",""/resources/parsonskellogg/product/medium/j325-gry.jpg""]"
