Product URL,Catalog Image
https://www.corporategear.com/peter-millar-men-s-apres-ski-vest.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/6055978_34361898_color_112.jpg"",""/resources/parsonskellogg/product/medium/200050-410.jpg""]"
https://www.corporategear.com/patagonia-men-s-better-sweater-vest.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/s17274-bht.jpg"",""/resources/parsonskellogg/product/medium/s17274-blg.jpg"",""/resources/parsonskellogg/product/medium/s17274-nht.jpg""]"
https://www.corporategear.com/patagonia-men-s-better-sweater-vest.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/637860523021485665_1012860_5746302_color_chr.jfif"",""/resources/parsonskellogg/product/medium/637860523040059590_1012860_5746309_color_nvy.jfif""]"
https://www.corporategear.com/men-s-rocklin-fleece-vest.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/eb546-blk.jpg"",""/resources/parsonskellogg/product/medium/637946152517330011_1013576_5752525_color_irn.jpg"",""/resources/parsonskellogg/product/medium/637946153116975059_1013576_5752534_color_nvy.jpg""]"
https://www.corporategear.com/men-s-rocklin-fleece-vest.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/og730-blk.jpg"",""/resources/parsonskellogg/product/medium/og730-ght.jpg""]"
https://www.corporategear.com/johnnie-o-men-s-wes-full-zip-vest.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/mf22k61-blk.jpg"",""/resources/parsonskellogg/product/medium/mf22k61-red.jpg"",""/resources/parsonskellogg/product/medium/mf22k61-gry.jpg"",""/resources/parsonskellogg/product/medium/mf22k61-nvy.jpg""]"
https://www.corporategear.com/johnnie-o-men-s-wes-full-zip-vest.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/mf22z46-grn.jpg"",""/resources/parsonskellogg/product/medium/mf22z46-org.jpg""]"
https://www.corporategear.com/charles-river-men-s-pacific-heathered-vest.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/mf22xz07-haz.jpg"",""/resources/parsonskellogg/product/medium/mf22xz07-nvy.jpg""]"
https://www.corporategear.com/charles-river-men-s-pacific-heathered-vest.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/mf22z46a-blu.jpg"",""/resources/parsonskellogg/product/medium/mf22z46a-gry.jpg""]"
https://www.corporategear.com/the-north-face-men-s-sweater-fleece-vest.html?v=product-detail,"[""/resources/parsonskellogg/product/medium/1005371_5687727_color_nvy.jpg"",""/resources/parsonskellogg/product/medium/1005371_5687713_color_blk.jpg"",""/resources/parsonskellogg/product/medium/1005371_5687720_color_irn.jpg"",""/resources/parsonskellogg/product/medium/1005371_5687734_color_wht.jpg""]"
